time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20151006:1600,20.25,34.9,873.9,679.5,216.45,352.0,2.0,120.0,74330.0
20151006:1700,21.44,31.0,804.55,583.33,230.9,350.2,1.66,124.0,74176.0
20151006:1800,21.65,30.2,656.65,417.38,267.75,356.6,0.62,119.0,74118.0
20151006:1900,20.69,31.85,523.0,383.39,210.1,359.0,1.79,111.0,74052.0
20151006:2000,19.98,32.9,455.75,552.29,99.85,358.2,0.9,70.0,74030.0
20151006:2100,19.52,33.7,243.05,412.69,66.3,338.0,0.69,46.0,74022.0
20151006:2200,18.42,36.2,40.25,130.14,16.5,345.4,0.76,14.0,74015.0
20151006:2300,16.6,47.05,0.0,-0.0,0.0,336.8,0.62,20.0,74132.0
20151007:0000,15.11,55.6,0.0,-0.0,0.0,333.2,0.9,72.0,74271.0
20151007:0100,13.87,63.0,0.0,-0.0,0.0,330.25,1.03,83.0,74374.0
20151007:0200,13.06,67.55,0.0,-0.0,0.0,328.8,1.24,87.0,74476.0
20151007:0300,12.34,70.65,0.0,-0.0,0.0,325.6,1.31,89.0,74505.0
20151007:0400,11.74,73.4,0.0,-0.0,0.0,324.6,1.31,92.0,74505.0
20151007:0500,11.14,76.35,0.0,-0.0,0.0,318.6,1.24,96.0,74476.0
20151007:0600,10.84,77.15,0.0,-0.0,0.0,323.4,1.17,96.0,74454.0
20151007:0700,10.54,79.4,0.0,-0.0,0.0,320.0,1.17,96.0,74388.0
20151007:0800,10.15,80.6,0.0,-0.0,0.0,312.8,1.24,96.0,74366.0
20151007:0900,9.55,82.0,0.0,-0.0,0.0,315.0,1.31,95.0,74352.0
20151007:1000,9.14,82.5,0.0,-0.0,0.0,330.2,1.31,96.0,74381.0
20151007:1100,8.82,83.4,109.4,703.89,65.25,329.0,1.31,96.0,74447.0
20151007:1200,10.63,77.0,320.25,634.43,119.45,336.2,1.17,97.0,74476.0
20151007:1300,14.46,60.9,624.95,873.05,146.35,346.0,0.76,119.0,74527.0
20151007:1400,17.27,46.05,710.0,736.18,163.75,329.2,0.48,185.0,74498.0
20151007:1500,18.88,39.9,752.8,566.15,251.9,334.0,0.76,134.0,74432.0
20151007:1600,20.18,35.05,790.45,623.18,188.05,357.2,0.69,104.0,74278.0
20151007:1700,21.09,31.9,908.95,714.08,207.6,354.2,0.34,68.0,74154.0
20151007:1800,21.75,31.35,801.7,701.86,148.8,352.4,0.69,309.0,74081.0
20151007:1900,20.58,36.35,629.9,615.36,128.75,357.2,0.97,288.0,74008.0
20151007:2000,19.71,41.2,414.85,466.43,115.15,343.4,1.17,305.0,74001.0
20151007:2100,18.49,46.8,230.05,375.5,69.95,352.8,0.9,316.0,74008.0
20151007:2200,17.39,53.35,35.4,95.5,18.15,344.6,0.97,295.0,74044.0
20151007:2300,15.94,63.05,0.0,-0.0,0.0,346.6,0.55,295.0,74132.0
20151008:0000,14.98,70.35,0.0,-0.0,0.0,339.2,0.34,15.0,74271.0
20151008:0100,14.36,75.15,0.0,-0.0,0.0,352.25,0.69,56.0,74366.0
20151008:0200,13.73,78.35,0.0,-0.0,0.0,347.6,0.83,59.0,74439.0
20151008:0300,13.22,80.75,0.0,-0.0,0.0,360.0,0.76,81.0,74491.0
20151008:0400,12.86,82.35,0.0,-0.0,0.0,352.2,0.83,86.0,74454.0
20151008:0500,12.51,83.65,0.0,-0.0,0.0,351.2,0.9,91.0,74454.0
20151008:0600,12.32,83.5,0.0,-0.0,0.0,354.4,1.03,102.0,74417.0
20151008:0700,11.68,86.2,0.0,-0.0,0.0,349.8,1.1,104.0,74388.0
20151008:0800,11.66,84.6,0.0,-0.0,0.0,359.0,1.1,101.0,74366.0
20151008:0900,11.28,85.55,0.0,-0.0,0.0,349.8,1.17,99.0,74403.0
20151008:1000,11.25,83.65,0.0,-0.0,0.0,352.8,1.03,94.0,74425.0
20151008:1100,11.08,82.95,108.85,794.1,58.55,346.4,1.1,97.0,74505.0
20151008:1200,12.32,75.1,279.65,495.91,122.5,351.4,1.17,105.0,74564.0
20151008:1300,14.43,65.25,554.0,793.83,118.75,343.4,0.83,118.0,74564.0
20151008:1400,16.95,52.15,670.45,716.06,139.3,338.4,0.97,134.0,74520.0
20151008:1500,18.98,42.6,748.05,639.09,183.0,349.8,1.31,122.0,74439.0
20151008:1600,20.54,36.1,815.4,617.11,219.45,354.4,0.76,114.0,74315.0
20151008:1700,21.28,33.7,874.45,677.94,209.45,357.2,0.55,311.0,74140.0
20151008:1800,21.23,35.65,596.0,388.39,235.3,360.0,1.24,309.0,74096.0
